500,5,0.009446859359741211
500,10,0.0071108341217041016
500,15,0.007370948791503906
500,20,0.009814023971557617
500,25,0.013632059097290039
500,30,0.014600992202758789
500,35,0.013684988021850586
500,40,0.01712322235107422
500,45,0.020663738250732422
500,50,0.026865005493164062
5000,5,0.2664220333099365
5000,10,0.3609616756439209
5000,15,0.4235532283782959
5000,20,0.6808750629425049
5000,25,0.6890139579772949
5000,30,0.4419891834259033
5000,35,0.8435299396514893
5000,40,0.9297840595245361
5000,45,0.8318798542022705
5000,50,1.0224580764770508
50000,5,20.31635618209839
50000,10,38.955594062805176
50000,15,71.52575588226318
50000,20,66.32369995117188
50000,25,63.841017961502075
50000,30,135.1351659297943
50000,35,52.12279200553894
50000,40,102.8882999420166
50000,45,89.82615184783936
50000,50,187.30857610702515
500000,5,2754.647804260254
500000,10,1584.049420118332
500000,15,9330.109173059464
500000,20,3477.4637727737427
500000,25,10248.694093942642
500000,30,6338.5114369392395
500000,35,15399.259516954422
500000,40,18023.76010966301
500000,45,11674.107113838196
500000,50,15436.240087032318
